"산업중분류별(1)",산업중분류별(2),2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022
"산업중분류별(1)",산업중분류별(2),사업장수 (개소),근로자수 (명),요양재해자수 (명),사망자수 (명),요양재해율 (%),사망만인율 (?),사업장수 (개소),근로자수 (명),요양재해자수 (명),사망자수 (명),요양재해율 (%),사망만인율 (?),사업장수 (개소),근로자수 (명),요양재해자수 (명),사망자수 (명),요양재해율 (%),사망만인율 (?),사업장수 (개소),근로자수 (명),요양재해자수 (명),사망자수 (명),요양재해율 (%),사망만인율 (?),사업장수 (개소),근로자수 (명),요양재해자수 (명),사망자수 (명),요양재해율 (%),사망만인율 (?),사업장수 (개소),근로자수 (명),요양재해자수 (명),사망자수 (명),요양재해율 (%),사망만인율 (?)
"제조업",수송용기계기구 제조업,13374,404873,2199,29,0.54,0.72,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",수송용기계기구 제조업·자동차 및 모터사이클 수리업,-,-,-,-,-,-,33423,493835,3033,44,0.61,0.89,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",계량기·광학기계·기타정밀기구 제조업,10259,109144,275,4,0.25,0.37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",수제품제조업,6086,37352,148,5,0.40,1.34,6282,37118,153,2,0.41,0.54,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",수제품 및 기타제품 제조업,-,-,-,-,-,-,-,-,-,-,-,-,23717,138980,1151,16,0.83,1.15,23990,134611,1141,28,0.85,2.08,24188,130699,1262,17,0.97,1.30,24597,131914,1130,26,0.86,1.97
"제조업",섬유 또는 섬유제품 제조업(을),10111,103342,677,21,0.66,2.03,10420,101711,717,28,0.70,2.75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",자동차 및 모터사이클 수리업,19380,89027,504,2,0.57,0.22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",코크스 연탄 및 석유정제품 제조업,403,13053,48,9,0.37,6.89,406,13196,76,9,0.58,6.82,405,13254,64,7,0.48,5.28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",기타제조업,16778,107089,1019,26,0.95,2.43,16838,104564,1006,20,0.96,1.91,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"전기·가스·증기 및 수도사업",소계,2272,75496,87,4,0.12,0.53,2493,76967,108,5,0.14,0.65,2814,76687,111,5,0.14,0.65,3103,79034,105,9,0.13,1.14,3341,79791,130,4,0.16,0.50,3502,79103,129,3,0.16,0.38
"전기·가스·증기 및 수도사업",전기·가스·증기 및 수도사업,2272,75496,87,4,0.12,0.53,2493,76967,108,5,0.14,0.65,2814,76687,111,5,0.14,0.65,3103,79034,105,9,0.13,1.14,3341,79791,130,4,0.16,0.50,3502,79103,129,3,0.16,0.38
"건설업",소계,397405,3046523,25649,579,0.84,1.90,441758,2943742,27686,570,0.94,1.94,378343,2487807,27211,517,1.09,2.08,329279,2284916,26799,567,1.17,2.48,400990,2378751,29943,551,1.26,2.32,396622,2494031,31245,539,1.25,2.16
"건설업",건설업,397405,3046523,25649,579,0.84,1.90,441758,2943742,27686,570,0.94,1.94,378343,2487807,27211,517,1.09,2.08,329279,2284916,26799,567,1.17,2.48,400990,2378751,29943,551,1.26,2.32,396622,2494031,31245,539,1.25,2.16
"운수·창고 및 통신업",소계,71532,838006,4237,121,0.51,1.44,77160,873232,5291,157,0.61,1.80,81424,910585,6173,153,0.68,1.68,87059,936449,7251,150,0.77,1.60,93249,993678,10091,158,1.02,1.59,98044,1071768,12468,198,1.16,1.85
"운수·창고 및 통신업",철도·궤도 및 삭도운수업,276,58728,114,11,0.19,1.87,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"운수·창고 및 통신업",철도·궤도·삭도·항공운수업,-,-,-,-,-,-,555,104542,341,6,0.33,0.57,631,137481,466,7,0.34,0.51,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"운수·창고 및 통신업",철도·항공·창고·운수관련서비스업,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,43218,482457,2402,36,0.50,0.75,44300,514758,2854,50,0.55,0.97,45449,533683,3157,55,0.59,1.03
